ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-09 18:08,KXBTC15M-26AUG091415-15,entry,yes,76,6,4.56,0.08,65152.77,0.55
2026-08-09 18:23,KXBTC15M-26AUG091430-30,entry,no,74,6,4.44,0.09,65153.01,0.06
2026-08-09 18:53,KXBTC15M-26AUG091500-00,entry,no,80,6,4.80,0.07,65159.94,0.79
2026-08-09 19:23,KXBTC15M-26AUG091530-30,entry,yes,93,5,4.65,0.03,65165.77,3.65
2026-08-09 19:38,KXBTC15M-26AUG091545-45,entry,no,77,6,4.62,0.08,65150.99,1.40
2026-08-09 19:53,KXBTC15M-26AUG091600-00,entry,no,78,6,4.68,0.08,65145.62,0.89
2026-08-09 20:08,KXBTC15M-26AUG091615-15,entry,no,95,5,4.75,0.02,65104.52,4.65
2026-08-09 20:23,KXBTC15M-26AUG091630-30,entry,yes,93,5,4.65,0.03,65073.26,5.40
2026-08-09 20:38,KXBTC15M-26AUG091645-45,entry,yes,88,5,4.40,0.04,65100.00,2.98
2026-08-09 20:53,KXBTC15M-26AUG091700-00,entry,no,86,5,4.30,0.05,65087.37,1.33
2026-08-09 21:08,KXBTC15M-26AUG091715-15,entry,no,69,7,4.83,0.11,65086.61,0.89
2026-08-09 21:23,KXBTC15M-26AUG091730-30,entry,no,88,5,4.40,0.04,65077.63,1.47
2026-08-09 21:38,KXBTC15M-26AUG091745-45,entry,yes,93,5,4.65,0.03,65140.15,7.56
2026-08-09 21:53,KXBTC15M-26AUG091800-00,entry,no,92,5,4.60,0.03,65142.20,5.39
2026-08-09 22:08,KXBTC15M-26AUG091815-15,entry,yes,96,5,4.80,0.02,65228.79,10.92
2026-08-09 22:23,KXBTC15M-26AUG091830-30,entry,no,98,5,4.90,0.01,65189.46,20.19
2026-08-09 22:38,KXBTC15M-26AUG091845-45,entry,no,98,5,4.90,0.01,64974.72,32.27
2026-08-09 23:23,KXBTC15M-26AUG091930-30,entry,no,97,5,4.85,0.02,64921.07,11.00
2026-08-10 00:08,KXBTC15M-26AUG092015-15,entry,yes,90,5,4.50,0.04,64974.26,18.41
2026-08-10 00:23,KXBTC15M-26AUG092030-30,entry,no,94,5,4.70,0.02,64990.00,17.62
2026-08-10 00:38,KXBTC15M-26AUG092045-45,entry,no,89,5,4.45,0.04,64896.10,10.61
2026-08-10 00:53,KXBTC15M-26AUG092100-00,entry,yes,97,5,4.85,0.02,64943.99,23.49
2026-08-10 01:23,KXBTC15M-26AUG092130-30,entry,yes,70,7,4.90,0.11,64976.92,4.28
