close_utc,ticker,strike,traded,skip_reason,side,entry_price_c,entry_spot,entry_distance_bps,adds,contracts,cost,fees,payout,gross_pnl,net_pnl,won
2026-08-09 18:15,KXBTC15M-26AUG091415-15,65149.17,1,,yes,76,65152.77,0.55,0,6,4.56,0.08,6.00,1.44,1.36,1
2026-08-09 18:30,KXBTC15M-26AUG091430-30,65153.39,1,,no,74,65153.01,0.06,0,6,4.44,0.09,0.00,-4.44,-4.53,0
2026-08-09 18:45,KXBTC15M-26AUG091445-45,65164.39,0,odds 40c not above 60c,yes,,65165.12,0.11,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-09 19:00,KXBTC15M-26AUG091500-00,65165.09,1,,no,80,65159.94,0.79,0,6,4.80,0.07,6.00,1.20,1.13,1
2026-08-09 19:15,KXBTC15M-26AUG091515-15,65147.50,0,odds 60c not above 60c,no,,65145.99,0.23,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-09 19:30,KXBTC15M-26AUG091530-30,65142.01,1,,yes,93,65165.77,3.65,0,5,4.65,0.03,5.00,0.35,0.32,1
2026-08-09 19:45,KXBTC15M-26AUG091545-45,65160.13,1,,no,77,65150.99,1.40,0,6,4.62,0.08,6.00,1.38,1.30,1
2026-08-09 20:00,KXBTC15M-26AUG091600-00,65151.43,1,,no,78,65145.62,0.89,0,6,4.68,0.08,6.00,1.32,1.24,1
2026-08-09 20:15,KXBTC15M-26AUG091615-15,65134.83,1,,no,95,65104.52,4.65,0,5,4.75,0.02,5.00,0.25,0.23,1
2026-08-09 20:30,KXBTC15M-26AUG091630-30,65038.17,1,,yes,93,65073.26,5.40,0,5,4.65,0.03,5.00,0.35,0.32,1
2026-08-09 20:45,KXBTC15M-26AUG091645-45,65080.58,1,,yes,88,65100.00,2.98,0,5,4.40,0.04,5.00,0.60,0.56,1
2026-08-09 21:00,KXBTC15M-26AUG091700-00,65096.02,1,,no,86,65087.37,1.33,0,5,4.30,0.05,5.00,0.70,0.65,1
2026-08-09 21:15,KXBTC15M-26AUG091715-15,65092.42,1,,no,69,65086.61,0.89,0,7,4.83,0.11,7.00,2.17,2.06,1
2026-08-09 21:30,KXBTC15M-26AUG091730-30,65087.23,1,,no,88,65077.63,1.47,0,5,4.40,0.04,0.00,-4.40,-4.44,0
2026-08-09 21:45,KXBTC15M-26AUG091745-45,65090.95,1,,yes,93,65140.15,7.56,0,5,4.65,0.03,5.00,0.35,0.32,1
2026-08-09 22:00,KXBTC15M-26AUG091800-00,65177.36,1,,no,92,65142.20,5.39,0,5,4.60,0.03,5.00,0.40,0.37,1
2026-08-09 22:15,KXBTC15M-26AUG091815-15,65157.62,1,,yes,96,65228.79,10.92,0,5,4.80,0.02,5.00,0.20,0.18,1
2026-08-09 22:30,KXBTC15M-26AUG091830-30,65321.32,1,,no,98,65189.46,20.19,0,5,4.90,0.01,5.00,0.10,0.09,1
2026-08-09 22:45,KXBTC15M-26AUG091845-45,65185.09,1,,no,98,64974.72,32.27,0,5,4.90,0.01,5.00,0.10,0.09,1
2026-08-09 23:00,KXBTC15M-26AUG091900-00,64984.68,0,odds 29c not above 60c,yes,,65001.90,2.65,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-09 23:15,KXBTC15M-26AUG091915-15,65030.47,0,odds 48c not above 60c,no,,64975.96,8.38,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-09 23:30,KXBTC15M-26AUG091930-30,64992.53,1,,no,97,64921.07,11.00,0,5,4.85,0.02,5.00,0.15,0.13,1
2026-08-09 23:45,KXBTC15M-26AUG091945-45,64876.09,0,odds 50c not above 60c,no,,64834.61,6.39,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 00:00,KXBTC15M-26AUG092000-00,64855.86,0,odds 60c not above 60c,no,,64830.00,3.99,0,0,0.00,0.00,0.00,0.00,0.00,
2026-08-10 00:15,KXBTC15M-26AUG092015-15,64854.87,1,,yes,90,64974.26,18.41,0,5,4.50,0.04,5.00,0.50,0.46,1
2026-08-10 00:30,KXBTC15M-26AUG092030-30,65104.69,1,,no,94,64990.00,17.62,0,5,4.70,0.02,5.00,0.30,0.28,1
2026-08-10 00:45,KXBTC15M-26AUG092045-45,64965.04,1,,no,89,64896.10,10.61,0,5,4.45,0.04,5.00,0.55,0.51,1
2026-08-10 01:00,KXBTC15M-26AUG092100-00,64791.80,1,,yes,97,64943.99,23.49,0,5,4.85,0.02,5.00,0.15,0.13,1
