ts_utc,ticker,kind,side,price_c,contracts,cost,fee,spot,distance_bps
2026-08-03 18:08,KXBTC15M-26AUG031415-15,entry,no,61,8,4.88,0.14,63840.00,0.96
2026-08-03 18:10,KXBTC15M-26AUG031415-15,add,no,42,11,4.62,0.19,63859.89,2.15
2026-08-03 18:13,KXBTC15M-26AUG031415-15,add,no,19,26,4.94,0.29,63936.11,14.09
2026-08-03 18:23,KXBTC15M-26AUG031430-30,entry,no,90,5,4.50,0.04,63835.32,14.46
2026-08-03 18:38,KXBTC15M-26AUG031445-45,entry,yes,83,6,4.98,0.06,63824.99,8.17
2026-08-03 18:44,KXBTC15M-26AUG031445-45,add,yes,34,14,4.76,0.22,63794.30,3.36
2026-08-03 18:53,KXBTC15M-26AUG031500-00,entry,yes,67,7,4.69,0.11,63823.83,6.78
2026-08-03 19:23,KXBTC15M-26AUG031530-30,entry,yes,79,6,4.74,0.07,63884.30,3.55
2026-08-03 20:08,KXBTC15M-26AUG031615-15,entry,no,78,6,4.68,0.08,63828.81,1.59
2026-08-03 20:10,KXBTC15M-26AUG031615-15,add,no,49,10,4.90,0.18,63857.58,2.92
2026-08-03 20:11,KXBTC15M-26AUG031615-15,add,no,26,19,4.94,0.26,63864.18,3.95
2026-08-03 20:12,KXBTC15M-26AUG031615-15,add,no,13,38,4.94,0.31,63890.17,8.02
2026-08-03 20:13,KXBTC15M-26AUG031615-15,add,no,1,500,5.00,0.35,63853.72,2.31
2026-08-03 20:23,KXBTC15M-26AUG031630-30,entry,yes,90,5,4.50,0.04,63890.76,5.97
2026-08-03 20:24,KXBTC15M-26AUG031630-30,add,yes,83,6,4.98,0.06,63891.44,6.07
2026-08-03 20:38,KXBTC15M-26AUG031645-45,entry,no,61,8,4.88,0.14,63874.27,2.69
2026-08-03 20:53,KXBTC15M-26AUG031700-00,entry,no,97,5,4.85,0.02,63729.95,20.32
2026-08-03 21:08,KXBTC15M-26AUG031715-15,entry,no,92,5,4.60,0.03,63676.35,10.17
2026-08-03 21:38,KXBTC15M-26AUG031745-45,entry,no,80,6,4.80,0.07,63660.11,0.43
2026-08-03 21:40,KXBTC15M-26AUG031745-45,add,no,66,7,4.62,0.11,63629.49,5.24
2026-08-03 21:53,KXBTC15M-26AUG031800-00,entry,no,84,5,4.20,0.05,63573.74,7.94
2026-08-03 22:08,KXBTC15M-26AUG031815-15,entry,no,94,5,4.70,0.02,63413.95,20.97
2026-08-03 22:23,KXBTC15M-26AUG031830-30,entry,yes,72,6,4.32,0.09,63498.56,8.58
2026-08-03 22:38,KXBTC15M-26AUG031845-45,entry,no,77,6,4.62,0.08,63445.66,5.11
2026-08-03 22:41,KXBTC15M-26AUG031845-45,add,no,69,7,4.83,0.11,63459.55,2.93
2026-08-03 22:53,KXBTC15M-26AUG031900-00,entry,yes,96,5,4.80,0.02,63557.64,16.66
2026-08-03 23:08,KXBTC15M-26AUG031915-15,entry,no,95,5,4.75,0.02,63513.45,4.60
2026-08-03 23:09,KXBTC15M-26AUG031915-15,add,no,75,6,4.50,0.08,63521.89,3.27
2026-08-03 23:23,KXBTC15M-26AUG031930-30,entry,yes,78,6,4.68,0.08,63506.14,3.65
2026-08-03 23:38,KXBTC15M-26AUG031945-45,entry,no,98,5,4.90,0.01,63428.19,14.67
2026-08-03 23:53,KXBTC15M-26AUG032000-00,entry,no,67,7,4.69,0.11,63438.00,1.15
2026-08-03 23:57,KXBTC15M-26AUG032000-00,add,no,27,18,4.86,0.25,63460.00,2.32
2026-08-03 23:58,KXBTC15M-26AUG032000-00,add,no,9,55,4.95,0.32,63458.65,2.11
2026-08-03 23:59,KXBTC15M-26AUG032000-00,add,no,1,500,5.00,0.35,63466.51,3.35
2026-08-04 00:08,KXBTC15M-26AUG032015-15,entry,yes,79,6,4.74,0.07,63474.96,1.94
2026-08-04 00:09,KXBTC15M-26AUG032015-15,add,yes,68,7,4.76,0.11,63486.51,3.76
2026-08-04 00:12,KXBTC15M-26AUG032015-15,add,yes,59,8,4.72,0.14,63413.36,7.76
2026-08-04 00:13,KXBTC15M-26AUG032015-15,add,yes,2,250,5.00,0.35,63417.71,7.08
2026-08-04 00:23,KXBTC15M-26AUG032030-30,entry,no,74,6,4.44,0.09,63385.01,6.55
2026-08-04 00:38,KXBTC15M-26AUG032045-45,entry,no,77,6,4.62,0.08,63302.63,9.91
2026-08-04 00:53,KXBTC15M-26AUG032100-00,entry,yes,75,6,4.50,0.08,63344.84,1.40
2026-08-04 00:55,KXBTC15M-26AUG032100-00,add,yes,62,8,4.96,0.14,63268.01,10.73
2026-08-04 00:56,KXBTC15M-26AUG032100-00,add,yes,7,71,4.97,0.33,63312.69,3.68
2026-08-04 00:58,KXBTC15M-26AUG032100-00,add,yes,4,125,5.00,0.34,63291.52,7.02
2026-08-04 01:08,KXBTC15M-26AUG032115-15,entry,yes,96,5,4.80,0.02,63380.73,13.31
2026-08-04 01:23,KXBTC15M-26AUG032130-30,entry,yes,91,5,4.55,0.03,63507.15,16.17
2026-08-04 01:25,KXBTC15M-26AUG032130-30,add,yes,77,6,4.62,0.08,63429.10,3.86
2026-08-04 01:38,KXBTC15M-26AUG032145-45,entry,yes,98,5,4.90,0.01,63634.94,30.86
2026-08-04 01:53,KXBTC15M-26AUG032200-00,entry,yes,79,6,4.74,0.07,63802.20,10.80
2026-08-04 02:08,KXBTC15M-26AUG032215-15,entry,no,92,5,4.60,0.03,63709.24,12.42
2026-08-04 02:10,KXBTC15M-26AUG032215-15,add,no,74,6,4.44,0.09,63732.90,8.71
2026-08-04 02:23,KXBTC15M-26AUG032230-30,entry,no,85,5,4.25,0.05,63648.21,10.30
2026-08-04 02:38,KXBTC15M-26AUG032245-45,entry,yes,96,5,4.80,0.02,63815.63,24.98
2026-08-04 02:53,KXBTC15M-26AUG032300-00,entry,no,92,5,4.60,0.03,63755.01,13.90
2026-08-04 03:08,KXBTC15M-26AUG032315-15,entry,no,85,5,4.25,0.05,63707.89,8.67
2026-08-04 03:38,KXBTC15M-26AUG032345-45,entry,yes,87,5,4.35,0.04,63766.02,8.25
2026-08-04 04:08,KXBTC15M-26AUG040015-15,entry,no,81,6,4.86,0.07,63701.02,7.59
2026-08-04 04:10,KXBTC15M-26AUG040015-15,add,no,48,10,4.80,0.18,63764.54,2.37
2026-08-04 04:23,KXBTC15M-26AUG040030-30,entry,yes,96,5,4.80,0.02,63799.85,8.01
2026-08-04 04:26,KXBTC15M-26AUG040030-30,add,yes,87,5,4.35,0.04,63762.31,2.12
2026-08-04 04:38,KXBTC15M-26AUG040045-45,entry,yes,91,5,4.55,0.03,63899.99,18.80
2026-08-04 04:53,KXBTC15M-26AUG040100-00,entry,yes,88,5,4.40,0.04,64080.53,13.03
2026-08-04 05:08,KXBTC15M-26AUG040115-15,entry,no,95,5,4.75,0.02,63879.35,17.04
2026-08-04 05:23,KXBTC15M-26AUG040130-30,entry,yes,80,6,4.80,0.07,63809.90,0.66
2026-08-04 05:25,KXBTC15M-26AUG040130-30,add,yes,43,11,4.73,0.19,63763.71,6.58
2026-08-04 05:26,KXBTC15M-26AUG040130-30,add,yes,13,38,4.94,0.31,63767.35,6.01
2026-08-04 05:27,KXBTC15M-26AUG040130-30,add,yes,7,71,4.97,0.33,63768.63,5.81
2026-08-04 05:28,KXBTC15M-26AUG040130-30,add,yes,4,125,5.00,0.34,63761.02,7.00
2026-08-04 05:53,KXBTC15M-26AUG040200-00,entry,no,94,5,4.70,0.02,63764.07,6.48
